Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,-9999
3,101,DET,Ifeatu Melifonwu,DB,22,2023,0,0,0,5,5,34,0,0,0,0,0,0,0,0,0,0,0,45,2,3.5,Syracuse,College Stats,MeliIf00
3,102,SFO,Ambry Thomas,DB,21,2023,0,0,0,5,5,42,0,0,0,0,0,0,0,0,0,0,0,61,2,,Michigan,College Stats,ThomAm00
3,103,LAR,Ernest Jones,LB,21,2023,0,0,1,14,14,47,0,0,0,0,0,0,0,0,0,0,0,176,3,5.5,South Carolina,College Stats,JoneEr01
3,104,BAL,Brandon Stephens,CB,23,2023,0,0,1,13,13,48,0,0,0,0,0,0,0,0,0,0,0,137,2,0.5,SMU,College Stats,StepBr01
3,105,DEN,Baron Browning,LB,22,2023,0,0,0,14,14,38,0,0,0,0,0,0,0,0,0,0,0,65,1,9.5,Ohio St.,College Stats,BrowBa01
4,106,JAX,Jay Tufele,DL,22,2023,0,0,0,2,0,21,0,0,0,0,0,0,0,0,0,0,0,11,,,USC,College Stats,TufeJa00
4,107,NYJ,Michael Carter,RB,22,2023,0,0,2,12,11,45,0,0,0,0,0,291,1228,7,101,714,1,1,,,North Carolina,College Stats,CartMi03
4,108,ATL,Darren Hall,CB,21,2022,0,0,1,4,4,31,0,0,0,0,0,0,0,0,0,0,0,50,,1.0,San Diego St.,College Stats,HallDa03
4,109,TEN,Dez Fitzpatrick,WR,23,2023,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,49,1,1,,,Louisville,College Stats,FitzDe00
4,110,CLE,James Hudson,OL,22,2023,0,0,0,7,7,45,0,0,0,0,0,0,0,0,0,0,0,,,,Cincinnati,College Stats,HudsJa00
4,111,CIN,Cameron Sample,DE,21,2023,0,0,0,5,5,47,0,0,0,0,0,0,0,0,0,0,0,44,,5.0,Tulane,College Stats,SampCa00
4,112,DET,Amon-Ra St. Brown,WR,21,2023,1,2,1,35,35,49,0,0,0,0,0,20,180,1,315,3588,21,1,,,USC,College Stats,StxxAm00
